directory	hardness	fn	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
111824_0ppm	0	DSC_0005.jpg	1	70	200	1400	1000	974085	1279	0.001313027	1	3706	1.152485564	1	1279	1279	562.3163422	40.15857676	579.735	567.8881346	-0.403730534	0.019988913	53	0.874320754	7828	0.032056262	0.031892756	31.19515286	31.35508216	35.65781067	68443	7.091364511	0.967391564	170.6235866	0.000178428	2.288268869	0.233564018	1.043886972	0.061461904	0.00436997	0.004102877	1.963384529	-2.51E-05	2.28E-05	9.687620017	139.1576546	233.0952351	0.973934614	0.907327156	1.91E-06	2.66E-06	1.395211762	1.374103407	0.004390281
111824_0ppm	0	DSC_0006.jpg	1	70	200	1400	1000	842068	2294	0.002724246	1	3587	1.043179235	2	1147	1223	517.4739152	71.88150949	595.25	535.2043867	-0.759072596	0.005281759	126	0.763136259	1089	0.00977848	0.029309383	102.2653828	34.11876667	41.94387604	165559	11.70029845	0.990155976	206.1354051	4.61E-05	2.058461143	0.227435099	1.197616098	0.016604229	0.000286627	0.000549566	1.985577731	-2.40E-05	2.65E-05	10.1566613	157.1569812	73.15040901	0.986507948	0.88019522	1.37E-06	2.22E-06	1.619005245	1.52665043	0.000871725
111824_0ppm	0	DSC_0007.jpg	1	70	200	1400	1000	1074262	1029	0.000957867	1	3883	1.066131649	1	1029	1029	586.8124298	38.48822416	616.5	595.0660924	-0.558095037	0.007645621	92	0.556963324	27315.5	0.012609267	0.014210237	79.30675298	70.37180157	35.30441123	62098	9.770717061	0.984260364	176.2885732	7.95E-05	2.542015858	0.312502369	1.092131053	0.027810139	0.000665989	0.000928489	1.969483475	-2.29E-05	2.08E-05	9.12928995	138.9756139	62.43926659	0.990742514	0.905864503	1.28E-06	2.04E-06	1.593507518	1.451721863	0.000455433
111824_0ppm	0	DSC_0008.jpg	1	70	200	1400	1000	1097981	7203	0.006560223	1	3915	1.158730033	2	3601.5	6089	607.3998277	53.20396907	667.625	620.3901851	-0.263006665	0.034614898	44	0.909020346	2124	0.035423409	0.01434437	28.22991988	69.7137603	41.72289607	58474	6.434301137	0.945452375	168.2588526	0.000314588	2.493499917	0.933331195	1.369546092	0.070399296	0.004897279	0.000987824	2.005083854	-3.71E-05	2.04E-05	9.507277874	121.1993745	54.30415957	0.983423641	0.884638395	1.22E-06	1.86E-06	1.532479533	1.414139764	0.000694024
111824_0ppm	0	DSC_0009.jpg	1	70	200	1400	1000	760565	5125	0.006738412	1	3946	1.231609592	3	1846	2187	496.3932243	70.46830513	494.5	496.3719238	-0.494118683	0.027950142	65	0.874263072	1000	0.048605795	0.052146264	20.57367847	19.17682942	46.63157609	165753	9.1888766	0.988715941	198.0029284	5.19E-05	1.724887628	0.156283673	1.228485239	0.073941222	0.004682263	0.007093868	1.975374335	-5.87E-06	2.90E-05	9.74769678	150.918203	349.7631188	0.980358966	0.91572049	2.20E-06	3.24E-06	1.470704267	1.371359995	0.003146077
111824_0ppm	0	DSC_0010.jpg	1	70	200	1400	1000	798697	12178	0.015247334	1	3880	1.041504753	5	1864	4921	518.0468252	40.5500133	516.65	516.0545619	0.252281166	0.045930309	52	0.816577528	607	0.04998885	0.057362906	20.00446106	17.43286856	46.20420861	140582	9.771081905	0.99009247	194.24963	4.74E-05	1.808771189	0.231556304	1.200887606	0.09148489	0.009698771	0.002582602	1.965754002	-2.02E-05	2.79E-05	9.71631851	149.2339282	40.91223179	0.968943133	0.872885012	2.06E-06	2.83E-06	1.3757358	1.379087198	0.00430309
111824_0ppm	0	DSC_0011.jpg	1	70	200	1400	1000	802055	47107	0.05873288	1	3596	1.145745652	13	1568	23250	546.0641538	41.28094834	568.07	553.5736497	-0.629187738	0.085609964	39	0.97535089	1199	0.112499351	0.004925238	8.888940158	203.0358846	29.80593715	10278	7.180641916	0.888515745	135.8891126	0.000783336	6.785280147	2.138076787	1.200502187	0.132948048	0.019898702	0.006315675	2.019665509	-1.56E-05	2.78E-05	8.626737201	102.3860633	42.47184826	0.910136104	0.715676875	1.37E-06	1.84E-06	1.340982326	1.448540809	0.000218762
111824_0ppm	0	DSC_0012.jpg	1	70	200	1400	1000	1281244	2213	0.001727228	1	5409	1.02582534	2	1106.5	1184	678.3948315	35.25084823	692.21	684.3196316	-0.193373841	0.087702655	22	0.942943034	3105	0.094019412	0.020960734	10.63610144	47.70825279	41.94247676	68240	8.263517486	0.981371106	182.8883937	9.65E-05	2.434720978	0.793707925	1.160236198	0.129502272	0.017402864	0.003568	1.982331382	-9.83E-06	1.75E-05	9.129548503	126.0147977	36.71544856	0.963750944	0.829772294	1.47E-06	2.08E-06	1.417617515	1.338224463	0.002297109
111824_0ppm	0	DSC_0013.jpg	1	70	200	1400	1000	729867	19320	0.026470576	1	3675	1.169778268	6	1290	12854	489.4571224	86.12960953	469.15	504.8944491	-1.035645055	0.028576576	60	0.936787463	774	0.033791747	0.036437496	29.5930242	27.44425682	48.88731574	133341	9.522781142	0.979993952	198.8472171	9.68E-05	1.735234268	0.346163381	1.325284436	0.058262529	0.00346887	0.000973526	1.994471017	-6.43E-05	3.07E-05	10.83084723	144.5579531	74.17761755	0.984803708	0.917919206	1.72E-06	2.52E-06	1.463850499	1.445528384	0.001337231
111824_0ppm	0	DSC_0014.jpg	1	70	200	1400	1000	772405	94473	0.122310187	1	3314	1.110612125	9	3740	35986	534.6790153	35.98216146	538.8	531.8919031	0.584290469	0.025034664	52	0.921905958	1226	0.033295893	0.031745355	30.03373401	31.50067103	38.60046385	39907	11.90538283	0.967032442	163.2194893	0.000189697	4.902714272	1.721533861	1.425157843	0.051021857	0.002698271	0.001165808	1.993653286	-1.63E-05	2.90E-05	7.361955193	117.2966902	35.18711696	0.953006724	0.882726858	1.40E-06	1.98E-06	1.411770041	1.484867509	0.001425307
111824_0ppm	0	DSC_0015.jpg	1	70	200	1400	1000	696955	38898	0.055811351	1	3553	1.278898901	14	2069	7630	506.4363673	57.46057001	463.5	506.270321	0.239335328	0.053203865	60	0.827671786	4312	0.064133183	0.029082323	15.59255215	34.38514842	51.80349244	98554	10.18757032	0.981753364	192.1425752	9.01E-05	1.873580975	0.623293639	1.492951304	0.083746743	0.006644571	0.002068121	1.997857863	-3.53E-05	3.21E-05	10.80644008	134.0766629	59.44189111	0.957977179	0.82868229	1.73E-06	2.55E-06	1.470829148	1.411710441	0.001171983
111824_0ppm	0	DSC_0016.jpg	1	70	200	1400	1000	876773	46404	0.0529259	1	3579	1.015115282	20	1416	6748	559.3742116	46.10992612	530.37	554.9654732	0.109390309	0.032425155	27	0.927565583	1020	0.040458605	0.026495117	24.71662072	37.74280436	40.19814163	40669	10.31646362	0.863411024	153.4213609	0.000870422	3.571316851	1.301401725	1.356599789	0.063671141	0.003262093	0.001163245	1.998354338	-1.44E-05	2.56E-05	9.388150983	112.6431503	64.33423198	0.972015634	0.892114081	1.36E-06	2.07E-06	1.524466149	1.39525299	0.001150724
111824_0ppm	0	DSC_0017.jpg	1	70	200	1400	1000	873315	0	0	1	3518	1.144359157	0	0	0	532.6258797	33.58758234	534.375	534.1439694	-0.177555143	0.026948237	53	0.671448709	776	0.025303323	0.059977401	39.5205016	16.67294664	42.41178721	127005	9.805424786	0.994621004	192.4593552	2.58E-05	1.970219832	0.272135927	1.169151151	0.065868079	0.00570235	0.001345691	1.980427162	-2.31E-05	2.53E-05	7.645447365	151.8293547	35.06742207	0.97436222	0.90201679	2.03E-06	2.74E-06	1.34772295	1.3848428	0.005064317
111824_0ppm	0	DSC_0018.jpg	1	70	200	1400	1000	980176	14147	0.014433122	1	4020	1.344623899	9	1426	2684	588.2677688	82.22935388	665.35	603.0123228	-0.233327772	0.06565831	54	0.876726677	969	0.072792804	0.044706855	13.73762162	22.36793418	51.19779911	151625	9.321155411	0.991390423	194.9861865	4.06E-05	1.749513019	0.550833196	1.397166754	0.108396114	0.014138491	0.003412179	1.985577624	-4.61E-06	2.25E-05	10.3950631	135.0614896	84.7046707	0.976487945	0.863763837	1.69E-06	2.53E-06	1.49785177	1.456915933	0.002686659
111824_0ppm	0	DSC_0019.jpg	1	70	200	1400	1000	857086	72681	0.084800125	1	3652	1.081493191	28	1613	9162	570.9303178	35.09467798	597.435	572.445886	-0.077976274	0.081271541	33	0.810396356	10890	0.104619726	0.010478087	9.558426879	95.43726488	40.33212069	50671	8.800142907	0.960169667	178.0357956	0.000210982	4.720402283	1.754025747	1.314042316	0.117173026	0.013925955	0.004750963	1.991878945	-3.44E-05	2.60E-05	10.21497999	115.7803569	38.69739076	0.970533711	0.905319133	1.39E-06	1.91E-06	1.372646466	1.46400366	0.00036635
111824_0ppm	0	DSC_0020.jpg	1	70	200	1400	1000	561544	30233	0.053839058	1	4065	1.086697101	13	1751	4944	461.092789	43.28329722	451.15	457.7762927	-0.251128686	0.090293548	59	0.948532801	1408	0.107840951	0.011235239	9.272915265	89.00567108	42.43752322	31684	8.295188101	0.980489513	175.5234731	0.000103676	3.153092936	1.265216885	1.41830896	0.121023065	0.014348469	0.004063659	1.977627502	-3.58E-05	3.98E-05	7.515348216	125.4153993	91.51818761	0.974128788	0.931191841	1.99E-06	2.66E-06	1.337394505	1.409037017	0.000286722
111824_0ppm	0	DSC_0021.jpg	1	70	200	1400	1000	849827	14806	0.017422369	1	3649	1.29076247	8	1529.5	3107	551.1136094	68.26825535	607.35	556.1583066	-0.125415511	0.078963719	52	0.934937038	1098	0.083280571	0.029724888	12.00760253	33.64184285	47.79336563	101341	8.761051335	0.985835356	189.9915649	6.68E-05	2.341512907	0.947016791	1.513835137	0.119660495	0.016351502	0.00339435	2.004956641	-3.48E-05	2.63E-05	8.982171903	133.7676327	68.40816197	0.981359266	0.921593607	1.56E-06	2.14E-06	1.369875119	1.393475684	0.001545338
111824_0ppm	0	DSC_0022.jpg	1	70	200	1400	1000	712267	38461	0.053998009	1	3076	1.038333087	11	3607	5152	495.5579901	32.69310655	537.485	499.6084916	-0.32991765	0.021854726	50	0.772289482	718	0.027421236	0.011001259	36.46808619	90.89868907	32.25572269	16897	10.77746664	0.956676747	151.1168868	0.000262726	7.5320126	2.31961929	1.108653087	0.045944292	0.002286503	0.001024936	2.00812184	-2.27E-05	3.15E-05	7.348182827	110.5105382	88.41494304	0.923863508	0.761413459	1.31E-06	1.82E-06	1.382825089	1.539602379	0.00037945
111824_0ppm	0	DSC_0023.jpg	1	70	200	1400	1000	719938	2779	0.003860055	1	3631	1.105455591	2	1389.5	1447	494.9354357	65.35760433	526.25	509.7210473	-1.157401997	0.069641136	70	0.78218754	772	0.073065663	0.026145998	13.68631946	38.24677044	51.21424153	114323	8.850889768	0.997143039	197.9776695	1.23E-05	2.199616935	0.92509013	1.4957978	0.115833916	0.015866446	0.003684914	1.987570978	-3.42E-05	3.11E-05	9.973551599	136.5836308	70.36165131	0.984339321	0.932584873	1.67E-06	2.27E-06	1.364509423	1.488528377	0.001435483
111824_0ppm	0	DSC_0024.jpg	1	70	200	1400	1000	548412	70801	0.129101843	1	7374	1.058021088	21	2052	20915	457.2104466	55.8705849	504.35	465.1374119	-0.709217032	0.105904503	39	0.901936547	982.5	0.138381626	0.006306903	7.226392931	158.5564147	35.18913229	11031	5.878823341	0.966402737	153.0256237	0.000211753	3.909711144	1.395531404	1.328182725	0.134453357	0.017055008	0.00639179	2.020102949	-3.66E-05	4.06E-05	6.519029016	118.5144667	45.9383431	0.951306776	0.906236531	2.07E-06	2.77E-06	1.33429455	1.350083747	0.000193253
111824_0ppm	0	DSC_0025.jpg	1	70	200	1400	1000	542797	25656	0.047266289	1	5335	1.236035327	12	1561	6021	414.7289163	82.50424449	470.25	444.8444884	-0.538613782	0.044187422	51	0.905918378	2207	0.05500807	0.02366827	18.17915081	42.25065943	46.64566305	47825	9.359828652	0.978371754	173.8236638	0.000111013	3.092255913	1.289334837	1.554610746	0.071346337	0.00456289	0.001867388	2.005976616	-1.74E-05	4.13E-05	9.865810143	120.364261	74.07529778	0.948392706	0.864572668	1.81E-06	2.49E-06	1.372423354	1.466443121	0.000747322
111824_0ppm	0	DSC_0026.jpg	1	70	200	1400	1000	690793	39945	0.057824848	1	3596	1.026168896	19	1516	8339	494.7857397	41.41120578	537	503.3713812	-0.208195995	0.033381925	40	0.841213721	3526	0.0410576	0.013905068	24.35602647	71.91622492	37.38405998	25982	9.293604929	0.961518258	158.6641861	0.000208977	5.65298575	1.979647661	1.261508422	0.066238767	0.003991872	0.001849962	2.020291802	-1.37E-05	3.25E-05	8.831605213	106.7562428	46.40089163	0.97464347	0.920972496	1.41E-06	1.94E-06	1.37847315	1.449071546	0.000465381
