directory	fn	Quality	THRES	HIGHTHRES	NLIM	NLIMHOLES	numWhitePixels	numBlackPixels	ratio	numLargeBlobs	perimeterLength	axisRatio	countLargeHoles	medianLargeHoleAreas	maxLargeHoleAreas	meanDistances	stdDistances	modeDistances	medianDistances	skewnessDistances	erosionslope	frct01	medianEccentricity	medianArea	sumEdgesLow	sumEdgesHigh	areaOverEdgeLow	areaOverEdgeHigh	stdRaw	areaHigh	stdHigh	compactnessCenter	brightnessCenter	blackCoreFraction	intensityKurtosis	intensitySkewness	intensityRatio	skeletonLength	skeletonBranchPoints	skeletonEndPoints	fractalDim	log10Entropy	waveletEntropy	stdRays	lowRays	stdMaxRays	corrGLCM	energyGLCM	meanStd5	meanStd25	ms25over5	ms100over25	numContours
081624_test_pH7.62	DSC_0005.jpg	1	70	200	1400	1000	346271	0	0	67	28543	1.335246866	0	0	0	439.6048915	206.9734949	320.25	434.5514724	0.155340847	0.070019436	17	0.627123663	1760	0.150085871	0.093546114	6.662852345	10.68991494	54.09673248	276626	10.69271285	0.323097368	94.42008308	0.007159362	2.680411153	-1.058780924	0.88382603	0.104240365	0.007294399	0.009826204	1.794938752	-0.000158868	5.23E-05	18.48428935	158.8751865	129.3338245	0.969205942	0.848162424	4.07E-06	9.11E-06	2.237118475	1.54645613	0.00213745
081624_test_pH7.62	DSC_0006.jpg	1	70	200	1400	1000	339431	0	0	75	31288	1.117241561	0	0	0	458.9892325	196.1874786	385.75	456.5343373	-0.150661689	0.076184556	19	0.628778135	1052	0.186334643	0.084840212	5.366688568	11.78686356	58.31872924	278763	10.77114591	0.300661293	88.47142755	0.007889933	1.987959983	-0.722968788	0.829213895	0.117589566	0.009120848	0.012773268	1.792423055	-6.05E-05	4.57E-05	18.99021216	147.1875177	96.64257323	0.964464824	0.819194786	3.96E-06	8.55E-06	2.16018798	1.47862159	0.002062903
081624_test_pH7.62	DSC_0007.jpg	1	70	200	1400	1000	265772	0	0	43	21287	1.039778168	0	0	0	476.3828007	190.75724	671.9	524.9506749	-0.447301222	0.068312689	20	0.618107576	965	0.169973138	0.084751984	5.883282562	11.79913378	56.88461344	238093	11.46850297	0.254026739	74.78515041	0.009956901	2.120916522	-0.771953804	0.753808901	0.10267524	0.007472682	0.010474882	1.830373224	-4.92E-05	5.45E-05	18.37367729	144.8487089	130.3587001	0.952668889	0.716686752	4.27E-06	9.52E-06	2.227470609	1.511115296	0.002051706
081624_test_pH7.62	DSC_0008.jpg	1	70	200	1400	1000	345275	0	0	71	31025	1.089914452	0	0	0	436.3007441	185.0752064	302.3	423.5124732	-0.052321944	0.074845268	19	0.59165641	1050.5	0.163537031	0.092547317	6.114822994	10.80528357	55.33798459	278092	11.17940819	0.312577585	89.68035618	0.007650344	2.381595764	-0.907826017	0.8596373	0.109766695	0.008124867	0.010987832	1.78475567	-0.000116922	4.90E-05	20.81976284	144.6751346	107.4380677	0.95810172	0.7209556	4.03E-06	8.98E-06	2.225020218	1.512473088	0.002252287
081624_test_pH7.62	DSC_0009.jpg	1	70	200	1400	1000	337827	0	0	67	32025	1.03994589	0	0	0	441.6269545	180.1151382	667.45	432.6970703	-0.095240364	0.080031495	18	0.634067776	1292.5	0.196261988	0.081504202	5.095230157	12.26930604	59.66031999	257133	11.12470782	0.284338922	81.61927419	0.008750543	1.776891512	-0.55862109	0.828439987	0.121810523	0.009909413	0.014001186	1.792469333	-0.000139835	4.58E-05	17.57701371	144.7195925	67.9085046	0.967003255	0.876619174	4.00E-06	8.39E-06	2.094955529	1.455775782	0.002339325
081624_test_pH7.62	DSC_0010.jpg	1	70	200	1400	1000	288855	0	0	48	23827	1.054446883	0	0	0	519.4738199	191.9341398	692.5	590.4787423	-0.683025762	0.070546814	18	0.658159571	986.5	0.182478629	0.091000865	5.480093791	10.98890658	57.7090866	260811	11.71091265	0.23137155	76.02130216	0.010099707	2.087818994	-0.769041012	0.836649564	0.11254379	0.008584188	0.01267126	1.832019851	-0.000104836	4.99E-05	16.61249668	154.7310557	106.6451778	0.956172825	0.704727246	4.18E-06	9.38E-06	2.246256474	1.495202488	0.002148276
081624_test_pH7.62	DSC_0011.jpg	1	70	200	1400	1000	316116	0	0	58	24142	1.182636126	0	0	0	506.3025532	189.6049481	634.15	552.5136111	-0.417709195	0.065824254	19	0.634429252	1676.5	0.159427442	0.088553848	6.272445867	11.29256407	56.01030547	273467	10.31476473	0.16807378	68.23309276	0.012183552	2.563254543	-1.036203447	0.848309724	0.107180577	0.007900804	0.011152673	1.806514926	-9.73E-05	5.34E-05	38.61340092	95.01425821	140.7612338	0.95888768	0.749097544	4.12E-06	9.09E-06	2.202967474	1.588164566	0.001900103
081624_test_pH7.62	DSC_0012.jpg	1	70	200	1400	1000	313681	0	0	63	28438	1.055529439	0	0	0	461.4434663	195.7319887	692.5	464.8479883	-0.279937723	0.076499692	19	0.612139359	1082	0.190874498	0.084090595	5.23904457	11.89193634	58.94158279	256605	10.85025423	0.254297447	77.64590628	0.009586054	1.963373138	-0.713969714	0.803413637	0.119243586	0.009841053	0.014331089	1.818606879	-7.81E-05	5.00E-05	19.62010134	145.6303767	130.0858859	0.955554611	0.742316469	4.17E-06	9.05E-06	2.168830936	1.516784446	0.002174757
081624_test_pH7.62	DSC_0013.jpg	1	70	200	1400	1000	355060	1201	0.003382527	81	35323	1.005829312	1	1201	1201	467.9851083	178.4182913	409.95	457.6763669	-0.184299109	0.084334479	18	0.659737738	818	0.193432237	0.063279051	5.169769095	15.80301829	61.14306599	244925	11.38066507	0.261176152	76.25072624	0.009669987	1.535309483	-0.293128467	0.759554712	0.108931972	0.006814867	0.010432246	1.798737281	-6.50E-05	4.16E-05	15.99791869	138.3723509	67.27828331	0.956380698	0.742067612	3.65E-06	7.87E-06	2.158822342	1.457185962	0.001151913
081624_test_pH7.62	DSC_0014.jpg	1	70	200	1400	1000	366773	0	0	70	31992	1.110657682	0	0	0	479.2182864	166.7300475	635	468.1318055	-0.244564392	0.075204827	19	0.550173641	856.5	0.17457463	0.088344094	5.728209183	11.31937582	56.15711554	296809	11.34434891	0.249604075	77.63870916	0.009648931	2.080089972	-0.724641753	0.824334489	0.114393271	0.008388939	0.011368067	1.78798088	-0.000127005	4.18E-05	15.88506042	150.4909127	59.7054176	0.967512866	0.829327723	3.83E-06	8.35E-06	2.179091451	1.434548237	0.002272121
